"Selector","ComponentPath","UsedIn","Count"
"app-agent-panel","src\app\shared\ui\agent-panel\agent-panel.component.ts","src\app\features\admin\main-layout\main-layout.html","1"
"app-ui-admin-filter-panel","src\app\shared\ui\ui-admin-filter-panel\ui-admin-filter-panel.ts","src\app\features\admin\pages\events-promotions\main-events-promotions\main-events-promotions.html","1"
"app-ui-admin-filter-panel","src\app\shared\ui\ui-admin-filter-panel\ui-admin-filter-panel.ts","src\app\features\admin\pages\inventory\main-inventory\main-inventory.html","1"
"app-ui-admin-filter-panel","src\app\shared\ui\ui-admin-filter-panel\ui-admin-filter-panel.ts","src\app\features\admin\pages\orders\main-orders\main-orders.html","1"
"app-ui-admin-filter-panel","src\app\shared\ui\ui-admin-filter-panel\ui-admin-filter-panel.ts","src\app\features\admin\pages\reports\main-reports\main-reports.html","1"
"app-ui-admin-filter-panel","src\app\shared\ui\ui-admin-filter-panel\ui-admin-filter-panel.ts","src\app\features\admin\pages\users\main\main.html","1"
"app-ui-cart-item","src\app\shared\ui\cart-item\cart-item.component.ts","src\app\features\client\pages\pedidos\components\orders\cart\orders-cart.page.html","1"
"app-ui-cart-removal-modal","src\app\shared\ui\cart-removal-modal\cart-removal-modal.component.ts","src\app\features\client\pages\pedidos\components\orders\cart\orders-cart.page.html","1"
"app-ui-checkbox","src\app\shared\ui\ui-checkbox\ui-checkbox.ts","src\app\features\admin\pages\events-promotions\components\editar-promotion-form\editar-promotion-form.html","1"
"app-ui-checkbox","src\app\shared\ui\ui-checkbox\ui-checkbox.ts","src\app\features\admin\pages\inventory\components\agregar-form\agregar-form.html","1"
"app-ui-checkbox","src\app\shared\ui\ui-checkbox\ui-checkbox.ts","src\app\features\admin\pages\inventory\components\editar-form\editar-form.html","1"
"app-ui-checkbox","src\app\shared\ui\ui-checkbox\ui-checkbox.ts","src\app\features\employee\main-layout\main-layout.html","2"
"app-ui-checkbox","src\app\shared\ui\ui-checkbox\ui-checkbox.ts","src\app\shared\ui\ui-pos-topbar\ui-pos-topbar.html","1"
"app-ui-combobox","src\app\shared\ui\ui-combobox\ui-combobox.ts","src\app\features\admin\pages\events-promotions\components\agregar-producto-form\agregar-producto-form.html","1"
"app-ui-combobox","src\app\shared\ui\ui-combobox\ui-combobox.ts","src\app\features\admin\pages\events-promotions\components\agregar-promocion-dia-evento-form\agregar-promocion-dia-evento-form.html","1"
"app-ui-combobox","src\app\shared\ui\ui-combobox\ui-combobox.ts","src\app\features\admin\pages\events-promotions\components\agregar-promotion-form\agregar-promotion-form.html","1"
"app-ui-combobox","src\app\shared\ui\ui-combobox\ui-combobox.ts","src\app\features\admin\pages\events-promotions\components\editar-promotion-form\editar-promotion-form.html","1"
